Gene1	Gene2	Score
YGL249W	YER175W-A	0.172912
YLR101C	YOR293C-A	0.172618
YJR150C	YJR047C	0.172285
YKL066W	snR51	0.172188
YGR070W	YIL101C	0.172061
YOL154W	YDR111C	0.172015
YPL267W	YML027W	0.171979
YLR420W	YOL143C	0.171271
YER067C-A	YFR015C	0.171191
YBR071W	YHR033W	0.170977
YGR273C	YAL067W-A	0.170577
YNL327W	YHL028W	0.17044
YBR093C	YML123C	0.169935
YER027C	YHR116W	0.169523
YMR290W-A	tG(CCC)D	0.169327
YBL069W	YOR344C	0.16929
YDL200C	YIL164C	0.169195
YBR208C	YKR039W	0.16832
YIL105C	YJL083W	0.167709
YBR090C	YGR219W	0.167563
YCR061W	YBR241C	0.167386
YCL075W	tL(CAA)D	0.167172
YDR133C	YDR134C	0.166704
YKR039W	YNL142W	0.166637
YIL046W-A	YLR366W	0.166597
YML123C	YBR093C	0.166558
YBR009C	YNL030W	0.166388
YAL037C-A	YJL032W	0.166371
YBR071W	YPL026C	0.166311
YPL220W	YHR141C	0.166146
YIL127C	YPL146C	0.165936
YOR134W	YDL248W	0.165542
YNL327W	YGL028C	0.164552
YKL096W	YIL119C	0.164239
YHL047C	YOR382W	0.164038
YGR204C-A	YJR029W	0.163859
YLR304C	YBL097W	0.163715
YFR032C-A	YOR182C	0.163607
YML043C	YDR528W	0.16336
YGR090W	YDL151C	0.163235
YNR014W	YJR115W	0.162969
YMR120C	YAR015W	0.162958
YDL247W	YEL076C	0.162599
YNL299W	YIL159W	0.162539
YBR208C	YEL065W	0.162322
YJL066C	YPL277C	0.162052
YHR174W	YAL038W	0.161417
YDR019C	YMR189W	0.161071
YNL052W	YEL050C	0.160692
YDR445C	YER087C-A	0.160608
YML066C	YGR107W	0.160426
YOL159C	tT(AGU)N1	0.160421
YPR145C-A	YNL278W	0.160357
YDL192W	YGR106C	0.160295
snR73	tN(GUU)N2	0.159408
YML009W-B	YGR038C-B	0.159213
YHR169W	YER070W	0.158257
YLR420W	YKL216W	0.1582
YOR100C	tI(UAU)D	0.158191
YOL106W	YIL086C	0.158
YMR251W	YGR161C	0.157673
YJR073C	YIR036C	0.157565
YDL025C	YDR345C	0.157381
YLR450W	YEL067C	0.157162
YNR056C	YNR058W	0.157151
YOR237W	YGR131W	0.15706
YJL144W	YJR019C	0.157043
YHR218W	tR(UCU)D	0.156971
YOR146W	YPR050C	0.156946
YGL158W	tK(CUU)E1	0.15676
YOR128C	YKR080W	0.156581
YJL136C	YER146W	0.156558
YMR179W	YDL003W	0.156306
YJL004C	YEL014C	0.156161
YHR066W	YCL036W	0.155733
YLR302C	YIR043C	0.155166
YPL141C	YKR077W	0.154817
YLR286C	YER124C	0.154813
YPL016W	YJR061W	0.154693
YMR307W	YDR033W	0.154312
YKR101W	YMR073C	0.154148
YLR101C	YGL199C	0.154037
YCR024C	YBR032W	0.153944
YBL099W	YKL104C	0.153888
YJR154W	YJR155W	0.153813
YPL273W	YGL204C	0.153775
YJR043C	YBR233W	0.153262
YDR022C	YOL086W-A	0.153232
YKL157W	YBR139W	0.15318
YLR303W	YOL160W	0.153158
YIL154C	YER152C	0.153145
YKR075C	YGL158W	0.153054
YGR086C	YDR513W	0.152925
YGL052W	YOL150C	0.152637
YDR380W	YHR137W	0.152575
YGR027W-B	YDL022C-A	0.152258
YGR014W	YCR065W	0.152226
YNR057C	YGR065C	0.152132
YDR343C	snR34	0.152086
YLR438W	YLR437C-A	0.151129
YBL001C	YDR510W	0.15104
YGR034W	YOL127W	0.150508
YLR134W	YCL064C	0.150479
YMR251W-A	YDL221W	0.150426
YGR289C	YJL106W	0.150391
YBL113C	YFL059W	0.150281
YGR086C	YCR004C	0.14984
YOR058C	YLR297W	0.149681
YHL043W	YMR195W	0.149659
YJL189W	YCL007C	0.149608
YGL220W	YIR036W-A	0.149498
YNL261W	YAR029W	0.149009
YEL075C	YJL086C	0.148917
YLR001C	YPL191C	0.148742
YGL033W	YJL007C	0.148636
YER079C-A	YEL018C-A	0.148358
YIL170W	YKR093W	0.148079
YCL057C-A	YBR253W	0.148068
YDL016C	YKL044W	0.147932
YOL136C	YEL008W	0.147811
YCR018C	tP(UGG)N2	0.147751
YER064C	YBR203W	0.147529
YLR417W	YNL278W	0.14733
YOL127W	YGR034W	0.146796
YDR528W	YML043C	0.146589
YPL272C	YIL011W	0.146481
YEL074W	YPL130W	0.146429
YHL009W-A	tL(CAA)G1	0.146213
YEL071W	tA(UGC)A	0.146191
YEL077C	YIR019C	0.146159
YDL100C	YBR106W	0.145891
snR83	YLL064C	0.145638
YLR014C	YLR057W	0.145522
YJL077W-B	RUF5-1	0.145382
YCR020W-B	YOR304C-A	0.145318
YOR032C	YLR462W	0.144932
YER087C-A	YDR445C	0.144761
YJR021C	YMR035W	0.144692
YGR250C	YOR267C	0.144483
YFL010W-A	YDL050C	0.14432
YJL051W	YOR058C	0.144129
YLR162W	tE(UUC)B	0.143975
tW(CCA)G2	tQ(UUG)D2	0.143963
YDL165W	YOR218C	0.143942
YJL051W	YGL021W	0.143684
YOL037C	YBL108W	0.143591
YGL103W	YPR204W	0.143585
YMR033W	YBL052C	0.142403
YOL154W	YGL255W	0.1422
YER170W	snR50	0.141745
YGR032W	YKR053C	0.141696
YOL158C	YHL047C	0.141606
YLR445W	tL(CAA)D	0.141594
YBR261C	YJL184W	0.141508
YFL012W-A	YPL205C	0.141417
YGL199C	YPR197C	0.141293
YER011W	YJR047C	0.141222
YHR066W	YML043C	0.141126
YKL191W	YDR192C	0.14104
YDR524W-C	YKL066W	0.14075
YGL158W	YPL121C	0.140657
YJL025W	YBL071W-A	0.140605
YDR218C	YBR301W	0.14015
YPR037C	YOR099W	0.140057
YKR053C	YOR237W	0.140048
YER100W	YDR308C	0.139975
YDR435C	YKL142W	0.139752
YLR358C	YPL102C	0.139742
YLR151C	YHL018W	0.139736
YMR157C	YGR086C	0.139691
YKL096W	YDR133C	0.139544
YGL102C	YMR052C-A	0.139448
YER144C	YLL059C	0.139402
YOL105C	YHR214W	0.139068
YGL102C	YOR169C	0.139067
YOR164C	YAL007C	0.139053
YOR065W	YLL041C	0.13898
YER081W	YNR073C	0.138782
YLR126C	YHR175W	0.138568
YIL104C	YMR001C	0.1385
YJL009W	YLL037W	0.13836
YEL060C	YLR099C	0.138339
YML041C	YOR121C	0.138247
YPR043W	YDR417C	0.13822
YIL119C	YKL096W	0.138078
YPL078C	YOR187W	0.137725
YBR261C	YML014W	0.13764
YBL005W-B	YLR227W-B	0.137597
YBR066C	YOR050C	0.136946
YEL061C	YLL021W	0.136764
YJR072C	YLL045C	0.136424
