Protein1	Protein2	Score
YPL004C	YER177W	0.136003
YOR096W	YGR234W	0.135859
YAR015W	YLL018C	0.135480
YER052C	YER055C	0.135292
YFL039C	YOR142W	0.134757
YAR015W	YOR323C	0.134504
YLR179C	YNL241C	0.134438
YGL147C	YNL069C	0.134072
YGL009C	YOL058W	0.133973
YHR019C	YDR172W	0.133957
YHR027C	YPR181C	0.133766
YHR020W	YDR037W	0.133512
YNL141W	YKL006W	0.133248
YFL045C	YOR310C	0.133211
YLR249W	YBR078W	0.133160
YFL039C	YKR042W	0.132844
YMR307W	YBR106W	0.132801
YGL076C	YBR078W	0.131987
YKL067W	YGR180C	0.130922
YHR196W	YJR045C	0.130476
YDL124W	YKL085W	0.130401
YOR298C-A	YJL080C	0.130322
YLR259C	YDL185W	0.130241
YAL005C	YKL196C	0.129548
YLR180W	YDR454C	0.128914
YNL104C	YHL021C	0.128846
YJL177W	YMR314W	0.128206
YGR034W	YHR163W	0.127825
YLR344W	YJL172W	0.127765
YLR406C	YOL139C	0.127754
YHR020W	YGR162W	0.127708
YJR073C	YBR106W	0.127430
YPL143W	YHR163W	0.126820
YBR196C	YJR139C	0.126780
YHR183W	YMR217W	0.126541
YNL007C	YPR062W	0.126373
YNL244C	YLR043C	0.126083
YBR164C	YML073C	0.126031
YDL182W	YJR025C	0.125879
YOR184W	YPL111W	0.125627
YGR180C	YMR099C	0.125620
YML085C	YJR045C	0.125498
YPR036W	YPR028W	0.125480
YGL008C	YJL130C	0.125421
YLR027C	YER055C	0.125215
YKL142W	YER057C	0.125197
YER178W	YNL220W	0.124913
YHL015W	YEL037C	0.124904
YDR238C	YER133W	0.124893
YLR300W	YJL052W	0.124605
YNL131W	YHR193C	0.124348
YPR028W	YOR369C	0.124015
YOL154W	YPR145W	0.124013
YLR448W	YGL147C	0.123659
YLR075W	YDL061C	0.123473
YKL182W	YGL001C	0.123265
YOR335C	YCR088W	0.122941
YGL147C	YBL039C	0.122876
YBR088C	YNL121C	0.122672
YLR344W	YLR028C	0.122586
YEL030W	YDR429C	0.122576
YBL026W	YDR233C	0.122240
YHL015W	YDR429C	0.121736
YGL147C	YLR448W	0.121694
YDL075W	YLR075W	0.121490
YLR301W	YPL262W	0.121452
YGR173W	YBR160W	0.121383
YDR129C	YOR198C	0.121298
YNL241C	YLR179C	0.121117
YNR001C	YLR406C	0.120937
YKL182W	YGR175C	0.120672
YOR187W	YGR034W	0.120490
YFR044C	YPL218W	0.120268
YOL097C	YBL041W	0.120066
YCL030C	YGR204W	0.119973
YOR369C	YIL041W	0.119869
YAL005C	YJL052W	0.119364
YOR310C	YLR197W	0.119247
YML028W	YGR148C	0.118903
YGR253C	YNR017W	0.118822
YNL069C	YML063W	0.118720
YDR099W	YKL142W	0.118660
YCR004C	YPR165W	0.118592
